Player,Year,Tm,Salary,Pos,Age,G,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,MP/G,FG/G,FGA/G,3P/G,3PA/G,2P/G,2PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Dwight Howard,2017,ATL,23180275,C,31,74,74,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,-0.5,2.8,2.3,2.4,0.633,0,0.635,0.633,0.533,29.72,5.24,8.28,0.00,0.03,5.24,8.26,3.05,5.73,4.00,8.70,12.70,1.41,0.86,1.24,2.30,2.74,13.54
Paul Millsap,2017,ATL,20072033,PF,31,69,67,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,0.132,0.5,2.1,2.7,2.7,0.442,0.311,0.486,0.481,0.768,33.96,6.23,14.09,1.09,3.49,5.14,10.59,4.51,5.87,1.61,6.12,7.72,3.65,1.30,0.90,2.29,2.70,18.06
Kent Bazemore,2017,ATL,15730338,SF,27,73,64,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.053,-2,1.2,-0.8,0.6,0.409,0.346,0.446,0.473,0.708,26.89,4.04,9.88,1.26,3.64,2.78,6.23,1.63,2.30,0.62,2.55,3.16,2.42,1.25,0.71,1.71,2.26,10.97
Ersan Ilyasova,2017,ATL,8400000,PF,29,26,12,13.5,0.53,0.407,0.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,0.5,0.9,1.4,0.106,-0.6,0.5,-0.2,0.3,0.412,0.348,0.455,0.482,0.8,24.35,3.58,8.69,1.23,3.54,2.35,5.15,2.00,2.50,1.62,4.19,5.81,1.65,0.85,0.31,1.31,2.81,10.38
Mike Dunleavy,2017,ATL,4837500,SF,36,30,0,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,0.7,0.5,1.2,0.12,-0.2,-0.8,-1,0.1,0.438,0.429,0.453,0.565,0.846,15.83,1.90,4.33,1.10,2.57,0.80,1.77,0.73,0.87,0.43,1.83,2.27,1.00,0.30,0.17,0.47,1.17,5.63
Kris Humphries,2017,ATL,4000000,PF,31,56,4,13.6,0.514,0.252,0.383,9.7,23,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,1.6,0.115,-3,0.3,-2.7,-0.1,0.407,0.352,0.425,0.451,0.78,12.30,1.55,3.82,0.34,0.96,1.21,2.86,1.14,1.46,1.07,2.61,3.68,0.52,0.27,0.38,0.50,1.23,4.59
Thabo Sefolosha,2017,ATL,3850000,SF,32,62,42,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3,1.7,11.9,13.3,0.6,2.7,3.3,0.098,-1.9,3.1,1.2,1.3,0.441,0.342,0.484,0.492,0.733,25.74,2.81,6.37,0.66,1.94,2.15,4.44,0.89,1.21,0.87,3.48,4.35,1.73,1.55,0.50,0.94,1.56,7.16
Dennis Schroder,2017,ATL,2708582,PG,23,79,78,16.1,0.533,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,3.7,0.071,0.7,-1.4,-0.7,0.8,0.451,0.34,0.486,0.492,0.855,31.46,6.94,15.38,1.27,3.72,5.67,11.66,2.76,3.23,0.53,2.61,3.14,6.32,0.94,0.20,3.27,1.89,17.90
Malcolm Delaney,2017,ATL,2500000,PG,27,73,2,7.5,0.456,0.284,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,0.374,0.236,0.428,0.407,0.806,17.10,1.99,5.32,0.36,1.51,1.63,3.81,1.03,1.27,0.15,1.55,1.70,2.64,0.53,0.01,1.30,1.53,5.36
Taurean Waller-Prince,2017,ATL,2318280,SF,22,59,10,9.8,0.513,0.358,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,1.1,0.054,-3.8,1.5,-2.3,-0.1,0.4,0.324,0.443,0.458,0.787,16.63,1.93,4.83,0.56,1.73,1.37,3.10,1.25,1.59,0.42,2.24,2.66,0.93,0.73,0.46,1.03,1.63,5.68
